tissue	exposure	n	amsd_p	cosine_dist	sigvar_p	mean_within
LIVER	TCP	4	0.00069	0.17740866	0	0.26449655
LIVER	ANTHRAQUINONE	5	0.0002	0.03605667	0.001	0.15526983
LIVER	ANTIMONY_TRIOXIDE	6	0.13191	0.01674447	0.072	0.13330716
LUNG	ANTIMONY_TRIOXIDE	5	0.37648	0.02166462	0.271	0.33540366
LIVER	BROMOCHLOROACETIC_ACID	5	0.0002	0.21809507	0.001	0.18038934
LIVER	COBALT_METAL	5	0.2174	0.01809818	0.152	0.13420536
LUNG	COBALT_METAL	6	0.00001	0.11730561	1	0.23753503
LIVER	CUMENE	5	0.00045	0.05447172	0.01	0.18740824
LIVER	DE-71	5	0.01879	0.02470996	0.234	0.10975146
LIVER	DIETHANOLAMINE	5	0.02434	0.02953262	0.85	0.07671599
LIVER	FURAN	5	0.00067	0.05311703	0.013	0.16663356
LIVER	GINKGO_BILOBA_EXTRACT	3	0.05022	0.03914704	0.032	0.14494157
LIVER	INDIUM_PHOSPHIDE	5	0.13968	0.02023767	0.213	0.11256462
LIVER	ISOBUTYL_NITRITE	6	0.05906	0.01864728	0.05	0.12647396
LUNG	ISOBUTYL_NITRITE	6	0.00106	0.07183515	0.523	0.31920767
LIVER	NICKEL_OXIDE	4	0.03432	0.03268059	0.324	0.10394285
LUNG	NICKEL_OXIDE	5	0.46049	0.01860574	0.168	0.34219616
LIVER	NICKEL_SUBSULFIDE	3	0.79933	0.01462464	0.479	0.09471331
LUNG	NICKEL_SUBSULFIDE	4	0.46586	0.02176361	0.162	0.34737758
LIVER	NICKEL_SULFATE_HEXAHYDRATE	6	0.20838	0.01443382	0.312	0.10420027
LUNG	NICKEL_SULFATE_HEXAHYDRATE	6	0.17799	0.02718047	0.072	0.34939895
LIVER	OXAZEPAM	5	0.00044	0.03460935	0.019	0.17326134
LIVER	PRIMACLONE	5	0.01439	0.02203762	0.045	0.14364782
LIVER	SODIUM_TUNGSTATE_DIHYDRATE	6	0.27713	0.0128949	0.012	0.14999743
LUNG	SODIUM_TUNGSTATE_DIHYDRATE	6	0.44246	0.01676635	0.237	0.33812133
LIVER	VANADIUM_PENTOXIDE	6	0.05815	0.01934168	0.057	0.1595448
LUNG	VANADIUM_PENTOXIDE	3	0.44501	0.02650457	0.022	0.37438048
LIVER	VINYLIDENE_CHLORIDE	7	0.00003	0.10584597	0.001	0.24016436
LUNG	VINYLIDENE_CHLORIDE	5	0.0085	0.07148216	0.007	0.38569394
