sample	CNB (number of segments)	nb.altered.segments	size.amp	prop.amp	size.del	prop.del	ploidy	wholeGenomeDuplication	CN1	CN2	CN5	CN9	CN15	CN18	CN19
MESO_001_T	64	60	2.12E+09	0.686835	6.99E+08	0.226481	3.3	TRUE	0	64	0	0	0	0	0
MESO_002_T2	100	48	1.13E+08	0.036564	2.26E+08	0.073318	1.96	FALSE	39	0	0	46	0	15	0
MESO_003_T2	112	51	3.3E+08	0.108964	6E+08	0.197868	1.94	FALSE	25	0	0	0	0	0	85
MESO_006_T	96	43	2.72E+08	0.087982	6.5E+08	0.210409	1.9	FALSE	29	0	0	66	0	0	0
MESO_007_T	1612	1612	2.61E+09	0.861549	258000	8.51E-05	4.25	TRUE	0	0	416	0	0	1077	0
MESO_009_T	64	26	7.71E+08	0.249648	2070718	6.71E-04	2.34	FALSE	39	24	0	0	0	0	0
MESO_010_T	98	41	1.73E+08	0.05615	7.88E+08	0.25502	1.8	FALSE	33	0	0	65	0	0	0
MESO_011_T	90	37	2.29E+08	0.074262	3.24E+08	0.104923	1.96	FALSE	38	0	0	51	0	0	0
MESO_012_T	69	12	258000	8.51E-05	780000	2.57E-04	2	FALSE	41	0	0	0	0	0	27
MESO_013_T	123	48	55976895	0.018126	3.77E+08	0.122227	1.88	FALSE	28	0	0	44	0	0	51
MESO_014_T	143	137	2.25E+09	0.727372	47363415	0.015337	3.25	TRUE	0	53	34	0	0	50	0
MESO_015_T	94	39	7664985	0.002482	6.25E+08	0.202452	1.76	FALSE	37	0	0	56	0	0	0
MESO_017_T	165	83	1.95E+08	0.063058	3.63E+08	0.117544	1.94	FALSE	32	0	28	104	0	0	0
MESO_018_T	92	32	3121895	0.001011	5.28E+08	0.171079	1.82	FALSE	37	0	0	55	0	0	0
MESO_019_T	201	169	1.09E+09	0.35325	1.19E+08	0.038632	2.44	TRUE	0	33	0	63	86	0	0
MESO_020_T	120	43	1.09E+08	0.035424	2.19E+08	0.070949	1.98	FALSE	33	0	0	87	0	0	0
MESO_021_T	82	34	3E+08	0.09722	5.36E+08	0.173674	1.96	FALSE	35	0	0	47	0	0	0
MESO_022_T	107	42	3873895	0.001254	4.27E+08	0.138361	1.88	FALSE	37	0	0	70	0	0	0
MESO_023_T	101	44	3.1E+08	0.100259	4.13E+08	0.133615	1.96	FALSE	37	0	0	64	0	0	0
MESO_024_T	150	138	2.07E+09	0.668716	57663906	0.018672	3.2	TRUE	0	45	26	0	0	78	0
MESO_025_T	162	76	99205721	0.032123	4E+08	0.12937	1.86	FALSE	30	0	0	132	0	0	0
MESO_026_T	81	32	4.81E+08	0.15569	3.83E+08	0.124138	2.04	FALSE	34	0	0	47	0	0	0
MESO_027_T	108	38	1.88E+08	0.061002	2.46E+08	0.079623	2.02	FALSE	37	0	0	71	0	0	0
MESO_028_T	113	49	1.02E+08	0.033649	5.21E+08	0.172002	1.86	FALSE	34	0	0	79	0	0	0
MESO_029_T	117	54	3.45E+08	0.111718	2.25E+08	0.07289	2.06	FALSE	34	0	0	83	0	0	0
MESO_030_T	84	41	3.31E+08	0.109041	9.01E+08	0.297167	1.82	FALSE	36	0	0	48	0	0	0
MESO_031_T	77	36	43793404	0.014181	7.81E+08	0.252881	1.78	FALSE	38	0	0	38	0	0	0
MESO_032_T	120	45	29894057	0.009863	4.19E+08	0.138304	1.86	FALSE	39	0	0	80	0	0	0
MESO_033_T	96	31	5257882	0.001735	1.71E+08	0.05647	1.96	FALSE	45	0	0	0	0	0	50
MESO_034_T	97	30	12260058	0.00397	1.77E+08	0.057399	1.94	FALSE	45	0	0	0	0	0	51
MESO_035_T	343	151	1.66E+08	0.054623	9.77E+08	0.322419	1.8	FALSE	0	0	0	337	0	0	0
MESO_037_T	106	56	3.17E+08	0.102682	5.83E+08	0.188937	1.94	FALSE	35	0	0	71	0	0	0
MESO_038_T	121	65	41445062	0.01342	1.03E+09	0.332697	1.64	FALSE	32	0	0	86	0	0	0
MESO_039_T	129	51	6465575	0.002094	4.85E+08	0.157059	1.8	FALSE	33	0	0	94	0	0	0
MESO_040_T	121	53	2.41E+08	0.077945	6.31E+08	0.204267	1.86	FALSE	38	0	0	83	0	0	0
MESO_041_T1	93	34	0	0	5.4E+08	0.174791	1.8	FALSE	38	0	0	53	0	0	0
MESO_042_T1	65	15	3.71E+08	0.12025	1.51E+08	0.048821	2.1	FALSE	34	0	0	31	0	0	0
MESO_043_T	52	3	0	0	41592000	0.013722	1.98	FALSE	52	0	0	0	0	0	0
MESO_044_T	102	34	1.92E+08	0.062077	90271000	0.02923	2.02	FALSE	36	0	0	0	0	0	61
MESO_045_T	82	33	1.81E+08	0.058745	3.02E+08	0.097803	1.94	FALSE	40	0	0	40	0	0	0
MESO_046_T	141	77	73367000	0.023757	7.99E+08	0.258696	1.76	FALSE	29	0	0	112	0	0	0
MESO_047_T	64	6	1110000	3.59E-04	534000	1.73E-04	1.98	FALSE	36	0	0	0	0	0	27
MESO_048_T1	80	36	1.25E+08	0.040319	6.87E+08	0.222545	1.82	FALSE	36	0	0	42	0	0	0
MESO_049_T	62	13	15194056	0.00492	3.04E+08	0.098526	1.86	FALSE	45	0	0	0	0	0	17
MESO_050_T	48	0	0	0	0	0	2	FALSE	48	0	0	0	0	0	0
MESO_051_T	116	49	93669704	0.030331	7.65E+08	0.247813	1.76	FALSE	29	0	0	86	0	0	0
MESO_052_T2	191	99	99128761	0.032705	5.88E+08	0.194121	1.84	FALSE	26	0	0	165	0	0	0
MESO_053_T	209	103	1.29E+08	0.041704	5.52E+08	0.178601	1.76	FALSE	22	0	0	185	0	0	0
MESO_054_T	77	23	0	0	5.77E+08	0.186841	1.8	FALSE	33	0	0	44	0	0	0
MESO_055_T	65	9	0	0	30000	9.71E-06	2	FALSE	39	0	0	0	0	0	25
MESO_056_T2	97	33	681000	2.21E-04	5.34E+08	0.172774	1.82	FALSE	36	0	0	61	0	0	0
MESO_057_T2	97	50	2.22E+08	0.071731	9.63E+08	0.311705	1.74	FALSE	35	0	0	62	0	0	0
