ID	C_A.ACA	C_A.ACC	C_A.ACG	C_A.ACT	C_A.CCA	C_A.CCC	C_A.CCG	C_A.CCT	C_A.GCA	C_A.GCC	C_A.GCG	C_A.GCT	C_A.TCA	C_A.TCC	C_A.TCG	C_A.TCT	C_G.ACA	C_G.ACC	C_G.ACG	C_G.ACT	C_G.CCA	C_G.CCC	C_G.CCG	C_G.CCT	C_G.GCA	C_G.GCC	C_G.GCG	C_G.GCT	C_G.TCA	C_G.TCC	C_G.TCG	C_G.TCT	C_T.ACA	C_T.ACC	C_T.ACG	C_T.ACT	C_T.CCA	C_T.CCC	C_T.CCG	C_T.CCT	C_T.GCA	C_T.GCC	C_T.GCG	C_T.GCT	C_T.TCA	C_T.TCC	C_T.TCG	C_T.TCT	T_A.ATA	T_A.ATC	T_A.ATG	T_A.ATT	T_A.CTA	T_A.CTC	T_A.CTG	T_A.CTT	T_A.GTA	T_A.GTC	T_A.GTG	T_A.GTT	T_A.TTA	T_A.TTC	T_A.TTG	T_A.TTT	T_C.ATA	T_C.ATC	T_C.ATG	T_C.ATT	T_C.CTA	T_C.CTC	T_C.CTG	T_C.CTT	T_C.GTA	T_C.GTC	T_C.GTG	T_C.GTT	T_C.TTA	T_C.TTC	T_C.TTG	T_C.TTT	T_G.ATA	T_G.ATC	T_G.ATG	T_G.ATT	T_G.CTA	T_G.CTC	T_G.CTG	T_G.CTT	T_G.GTA	T_G.GTC	T_G.GTG	T_G.GTT	T_G.TTA	T_G.TTC	T_G.TTG	T_G.TTT
TCGA-02-0003-01A-01D-1490-08	0	1	0	2	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	12	0	0	2	9	1	1	1	7	2	1	0	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TCGA-02-0033-01A-01D-1490-08	2	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	3	2	0	0	0	5	0	1	1	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TCGA-02-0047-01A-01D-1490-08	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	9	1	2	4	8	3	1	4	6	5	2	0	6	3	0	0	1	1	1	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
TCGA-02-0055-01A-01D-1490-08	1	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	14	2	1	0	9	3	2	0	13	1	1	3	2	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-02-2466-01A-01W-0837-08	0	3	0	1	1	1	0	2	0	1	0	2	1	3	1	0	2	0	0	0	2	0	1	0	0	0	0	0	1	0	1	1	1	2	8	1	0	3	4	3	1	2	6	3	2	0	5	2	4	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	2	3	2	1	2	2	1	2	6	6	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1
TCGA-02-2470-01A-01D-1494-08	0	0	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	13	0	1	1	5	0	0	1	13	1	0	0	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	2	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1
TCGA-02-2483-01A-01D-1494-08	1	2	0	1	3	0	0	1	1	0	0	1	3	1	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	10	1	0	1	1	1	1	3	2	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	3	1	1	2	3	2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-02-2485-01A-01D-1494-08	1	1	0	0	0	1	0	2	0	1	0	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0	2	8	2	0	0	10	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
TCGA-02-2486-01A-01D-1494-08	0	1	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	13	0	0	0	14	0	1	0	13	0	0	1	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0
TCGA-04-1331-01A-01W-0486-08	2	2	2	1	5	2	2	2	1	2	1	0	5	3	0	4	4	0	0	1	2	2	0	1	3	1	0	1	3	8	0	2	6	4	4	2	6	5	3	2	2	7	10	1	4	3	5	5	0	0	2	0	1	0	2	0	0	1	1	0	1	0	2	3	2	0	1	3	0	0	1	0	1	0	2	0	1	1	1	1	1	0	1	0	0	3	2	0	1	0	1	2	0	1	0	1
TCGA-04-1335-01A-01W-0488-09	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
TCGA-04-1336-01A-01W-0486-08	1	2	0	2	3	0	1	2	2	1	0	1	1	2	0	1	0	1	2	0	0	1	0	1	0	0	0	1	1	1	1	2	1	0	1	0	2	1	4	1	1	3	3	3	1	1	2	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	2	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1
TCGA-04-1341-01A-01W-0486-08	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	2	0	1	0	1	0	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	2	1	0	4	1	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
TCGA-04-1342-01A-01W-0486-08	3	8	1	1	3	7	3	2	5	5	5	3	4	1	2	5	1	1	1	4	2	5	3	2	3	5	1	5	6	1	2	0	6	2	6	3	7	8	11	3	4	5	5	1	6	8	9	6	0	0	0	0	3	2	3	2	1	1	4	2	1	0	0	1	3	2	3	1	1	3	1	2	1	2	0	0	0	4	1	2	0	2	2	0	0	1	2	1	3	0	4	0	1	3	0	1
TCGA-04-1343-01A-01W-0486-08	0	2	0	4	0	1	2	1	1	3	0	3	1	4	0	1	2	1	0	1	0	1	1	0	1	2	1	2	4	0	2	0	1	2	9	3	7	5	6	0	3	7	5	3	5	1	5	3	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	2	0	0	0	0	1	0	1	0	2	0	2	0	2	0	1	0
TCGA-04-1346-01A-01W-0486-08	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	2	2	6	1	1	3	4	0	1	1	6	2	0	1	3	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	2	1	0	1	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
TCGA-04-1348-01A-01W-0492-08	1	1	0	1	2	0	1	0	0	0	1	1	1	1	1	4	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	1	2	0	3	2	3	3	0	2	3	0	0	0	3	0	2	0	0	0	1	0	0	1	2	1	2	0	1	0	0	1	1	0	1	1	1	1	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
