Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	50.0	0.869	37.238	74.476%	5.611	49.987%	0.71822	0.832
V2	50.0	0.875	40.46	80.92%	5.654	48.483%	0.74783	0.843
V3	50.0	0.84	43.399	86.798%	6.36	54.537%	0.75557	0.798
V4	50.0	0.889	37.72	75.44%	4.753	45.736%	0.63265	0.851
V5	50.0	0.87	40.529	81.058%	5.597	49.471%	0.70583	0.835
V6	50.0	0.861	42.738	85.476%	6.113	52.419%	0.68393	0.83
V7	50.0	0.821	46.027	92.054%	7.127	58.192%	0.87425	0.78
V8	50.0	0.815	48.473	96.946%	6.446	57.887%	0.83624	0.759
V9	50.0	0.877	40.859	81.718%	6.141	48.248%	0.75487	0.851
V10	50.0	0.883	39.799	79.598%	5.653	47.108%	0.73727	0.855
V11	50.0	0.857	38.741	77.482%	5.484	51.819%	0.60035	0.809
V12	50.0	0.857	38.103	76.206%	5.561	51.633%	0.66341	0.812
V13	50.0	0.885	39.05	78.1%	5.412	47.105%	0.68133	0.855
V14	50.0	0.803	47.245	94.49%	7.463	60.935%	1.10038	0.758
V15	50.0	0.83	43.915	87.83%	6.045	56.126%	0.75334	0.775
V16	50.0	0.843	42.155	84.31%	5.938	53.76%	0.72929	0.795
V17	50.0	0.81	42.639	85.278%	6.844	58.687%	0.69819	0.758
V18	50.0	0.798	47.308	94.616%	6.869	60.245%	0.81015	0.739
V19	50.0	0.841	46.466	92.932%	6.334	54.314%	0.85182	0.799
V20	50.0	0.776	46.973	93.946%	6.751	63.791%	0.84052	0.698
V21	50.0	0.849	40.303	80.606%	5.998	53.864%	0.69366	0.806
V22	50.0	0.85	40.419	80.838%	5.779	53.2%	0.71834	0.805
V23	50.0	0.823	44.077	88.154%	6.296	58.457%	0.83422	0.77
V24	50.0	0.833	45.339	90.678%	6.433	55.573%	0.82776	0.789
V25	50.0	0.854	41.192	82.384%	5.844	52.062%	0.71933	0.812
