Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	2500.0	0.994	363.204	14.528%	51.705	10.996%	0.0231	0.992
V2	2500.0	0.996	319.731	12.789%	43.105	9.322%	0.01928	0.994
V3	2500.0	0.995	343.775	13.751%	46.604	10.136%	0.01986	0.993
V4	2500.0	0.995	318.836	12.753%	46.031	10.032%	0.01641	0.993
V5	2500.0	0.995	325.779	13.031%	45.557	9.615%	0.01675	0.993
V6	2500.0	0.993	391.04	15.642%	55.368	11.823%	0.02554	0.99
V7	2500.0	0.989	463.328	18.533%	69.152	14.62%	0.03723	0.985
V8	2500.0	0.988	470.591	18.824%	71.79	15.352%	0.03975	0.983
V9	2500.0	0.996	323.192	12.928%	44.001	9.321%	0.01709	0.994
V10	2500.0	0.995	339.158	13.566%	47.0	9.937%	0.01962	0.993
V11	2500.0	0.988	493.47	19.739%	72.566	15.755%	0.04986	0.982
V12	2500.0	0.996	285.5	11.42%	39.797	8.541%	0.01559	0.995
V13	2500.0	0.996	283.498	11.34%	39.131	8.392%	0.01613	0.995
V14	2500.0	0.989	481.6	19.264%	69.884	14.682%	0.03982	0.985
V15	2500.0	0.991	433.313	17.333%	63.47	13.687%	0.03811	0.988
V16	2500.0	0.997	287.534	11.501%	38.844	8.43%	0.01516	0.995
V17	2500.0	0.988	470.335	18.813%	72.597	16.029%	0.04057	0.982
V18	2500.0	0.995	320.076	12.803%	43.668	9.493%	0.01658	0.993
V19	2500.0	0.995	315.041	12.602%	46.548	9.991%	0.019	0.993
V20	2500.0	0.995	347.533	13.901%	48.3	10.219%	0.01916	0.993
V21	2500.0	0.986	524.442	20.978%	84.472	18.122%	0.05056	0.981
V22	2500.0	0.996	302.473	12.099%	41.934	9.111%	0.01884	0.994
V23	2500.0	0.988	453.447	18.138%	71.49	15.596%	0.03952	0.983
V24	2500.0	0.995	334.707	13.388%	45.964	10.068%	0.01786	0.993
V25	2500.0	0.989	493.755	19.75%	71.94	15.233%	0.04709	0.985
V26	2500.0	0.989	486.559	19.462%	71.204	15.176%	0.04494	0.984
V27	2500.0	0.986	496.865	19.875%	77.926	17.021%	0.04731	0.98
V28	2500.0	0.997	281.805	11.272%	36.525	7.794%	0.01469	0.996
V29	2500.0	0.996	310.241	12.41%	41.073	8.797%	0.01856	0.995
V30	2500.0	0.994	358.19	14.328%	49.907	11.008%	0.02194	0.991
V31	2500.0	0.996	326.68	13.067%	42.343	9.009%	0.01963	0.994
V32	2500.0	0.997	296.394	11.856%	38.81	8.378%	0.01532	0.995
V33	2500.0	0.994	376.265	15.051%	50.585	10.738%	0.02672	0.992
V34	2500.0	0.995	342.998	13.72%	45.9	10.001%	0.01885	0.993
V35	2500.0	0.993	368.031	14.721%	54.799	11.889%	0.02053	0.99
V36	2500.0	0.989	441.264	17.651%	69.389	15.044%	0.03664	0.984
V37	2500.0	0.994	360.695	14.428%	50.197	10.815%	0.02364	0.992
V38	2500.0	0.996	316.087	12.643%	42.174	8.977%	0.01687	0.994
V39	2500.0	0.992	366.196	14.648%	61.219	13.004%	0.0223	0.988
V40	2500.0	0.995	322.934	12.917%	46.383	9.973%	0.02145	0.993
V41	2500.0	0.99	461.036	18.441%	67.313	14.452%	0.04032	0.986
V42	2500.0	0.996	292.743	11.71%	42.054	9.179%	0.01715	0.994
