Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	3000.0	0.993	451.836	15.061%	69.693	11.843%	0.03441	0.991
V2	3000.0	0.992	495.919	16.531%	75.471	12.741%	0.03838	0.989
V3	3000.0	0.989	537.902	17.93%	88.3	14.976%	0.04304	0.986
V4	3000.0	0.997	314.213	10.474%	47.749	8.0%	0.01327	0.996
V5	3000.0	0.993	492.821	16.427%	74.399	12.423%	0.03761	0.991
V6	3000.0	0.993	481.011	16.034%	70.364	12.079%	0.0331	0.991
V7	3000.0	0.993	447.289	14.91%	68.938	11.66%	0.03308	0.991
V8	3000.0	0.997	313.283	10.443%	42.527	7.27%	0.01457	0.996
V9	3000.0	0.991	506.502	16.883%	81.255	13.594%	0.03644	0.989
V10	3000.0	0.994	457.71	15.257%	69.818	11.822%	0.03365	0.991
V11	3000.0	0.994	450.763	15.025%	69.32	11.496%	0.03688	0.992
V12	3000.0	0.992	499.448	16.648%	76.984	12.868%	0.03906	0.989
V13	3000.0	0.989	569.753	18.992%	88.841	15.374%	0.04193	0.985
V14	3000.0	0.991	501.593	16.72%	82.372	13.9%	0.03909	0.989
V15	3000.0	0.991	521.798	17.393%	83.238	13.913%	0.04272	0.988
V16	3000.0	0.991	495.447	16.515%	79.897	13.652%	0.03631	0.988
V17	3000.0	0.992	473.993	15.8%	76.351	13.081%	0.03523	0.989
V18	3000.0	0.993	448.037	14.935%	71.074	12.122%	0.03617	0.991
V19	3000.0	0.998	298.154	9.938%	40.593	6.837%	0.01423	0.997
V20	3000.0	0.991	514.526	17.151%	83.482	14.105%	0.03674	0.989
V21	3000.0	0.992	463.52	15.451%	76.855	12.966%	0.03497	0.99
V22	3000.0	0.997	328.611	10.954%	43.029	7.219%	0.01627	0.997
V23	3000.0	0.991	507.923	16.931%	80.014	13.625%	0.03714	0.988
V24	3000.0	0.993	476.733	15.891%	73.103	12.395%	0.03715	0.99
V25	3000.0	0.994	475.677	15.856%	70.808	11.973%	0.03704	0.992
