signature	mean_A	mean_B	p_ttest	p_wilcox	p_ttest_Bonf	p_ttest_BH	p_wilcox_Bonf	p_wilcox_BH	n_samples	n_mutations	additional_sig	frac_extra	seed	amsd_p	replicate	param_set	run_id
SBS1	12.8	17.2	0.0746373783732501	0.070484629046211	0.821011162105751	0.456990069922294	0.775330919508321	0.4824358286891	5	50	SBS40	0.02	1756162813	0.166	1	1	1
SBS10a	1.2	0	0.373900966300059	0.423710797166793	1	0.475873957109166	1	0.539268287303192	5	50	SBS40	0.02	1756162870	0.864	2	1	2
SBS5	17.8	27.8	0.0336384657286449	0.0585526301568266	0.403661588743738	0.403661588743738	0.70263156188192	0.528823219786414	5	50	SBS40	0.02	1756162938	0.207	3	1	3
SBS1	15	10.8	0.152241383003777	0.1732171126447	1	0.400608178178635	1	0.453975854107279	5	50	SBS40	0.02	1756163008	0.313	4	1	4
SBS1	14.8	11.8	0.118668890252603	0.110492024055668	1	0.560851449450088	1	0.63556619575019	5	50	SBS40	0.02	1756163082	0.032	5	1	5
SBS11	1.6	0	0.373900966300059	0.423710797166793	1	0.441882960172797	1	0.459020030264026	5	50	SBS40	0.02	1756163145	0.94	6	1	6
SBS1	19.4	10.8	0.0399543789634881	0.0350149810196625	0.439498168598369	0.439498168598369	0.385164791216288	0.385164791216288	5	50	SBS40	0.02	1756163206	0.548	7	1	7
SBS16	3.4	0	0.178791181705843	0.179712494879	1	0.467376207875074	1	0.529638496458492	5	50	SBS40	0.02	1756163265	0.648	8	1	8
SBS5	17.4	27	0.0774114946536992	0.0562378038772759	0.851526441190691	0.456990069922294	0.618615842650035	0.517868752092747	5	50	SBS40	0.02	1756163326	0.133	9	1	9
SBS16	0	4.2	0.183566860055277	0.179712494879	1	0.467376207875074	1	0.529638496458492	5	50	SBS40	0.02	1756163392	0.255	10	1	10
SBS88	3.4	0	0.186556576147383	0.179712494879	1	0.486071256190077	1	0.550824036316831	5	50	SBS40	0.05	1756163444	0.732	1	2	11
SBS1	9.4	14.8	0.270779755273036	0.249152638581927	1	0.460633686440514	1	0.550824036316831	5	50	SBS40	0.05	1756163507	0.85	2	2	12
SBS16	0	2.2	0.373900966300059	0.423710797166793	1	0.560851449450088	1	0.544771024928734	5	50	SBS40	0.05	1756163572	0.546	3	2	13
SBS16	6	1.6	0.177006698502208	0.15149399240422	1	0.514113828662581	1	0.582602346104341	5	50	SBS40	0.05	1756163632	0.645	4	2	14
SBS10b	2	0	0.177807808356221	0.177015982874804	1	0.498534621733412	1	0.564947729555724	5	50	SBS40	0.05	1756163692	0.206	5	2	15
SBS15	0	4.8	0.177807808356221	0.177015982874804	1	0.44400739748132	1	0.503156571635567	5	50	SBS40	0.05	1756163750	0.577	6	2	16
SBS5	24.6	18.6	0.332332373205614	0.401965358356735	1	0.456990069922294	1	0.517868752092747	5	50	SBS40	0.05	1756163809	0.455	7	2	17
SBS16	0	2.4	0.185622454189575	0.179712494879	1	0.486071256190077	1	0.572891821435281	5	50	SBS40	0.05	1756163879	0.463	8	2	18
SBS12	0	1.8	0.373900966300059	0.423710797166793	1	0.436217794016735	1	0.456303935410393	5	50	SBS40	0.05	1756163939	0.206	9	2	19
SBS54	0	3	0.208	0.179712494879	1	0.411291062930065	1	0.466081876883473	5	50	SBS40	0.05	1756164008	0.574	10	2	20
SBS54	0	3.8	0.178595278302822	0.179712494879	1	0.448681159560071	1	0.462229960545593	5	50	SBS40	0.1	1756164074	0.382	1	3	21
SBS19	0	1.6	0.373900966300059	0.423710797166793	1	0.623168277166765	1	0.605301138809705	5	50	SBS40	0.1	1756164141	0.045	2	3	22
SBS5	16.6	29.6	0.0556844920576781	0.204500533325642	0.723898396749815	0.405059380158397	1	0.459020030264026	5	50	SBS40	0.1	1756164201	0.42	3	3	23
SBS1	15.6	9.8	0.064933637466318	0.0926917161244465	0.909070924528452	0.436217794016735	1	0.494329263361259	5	50	SBS40	0.1	1756164263	0.528	4	3	24
SBS16	1.4	4.6	0.354453085256857	0.440686016488678	1	0.448681159560071	1	0.528823219786414	5	50	SBS40	0.1	1756164328	0.857	5	3	25
SBS5	22.6	27.6	0.290542000598832	0.342781711147911	1	0.448681159560071	1	0.508452956600152	5	50	SBS40	0.1	1756164396	0.664	6	3	26
SBS5	20	28	0.253441290145523	0.207299840313741	1	0.436217794016735	1	0.494329263361259	5	50	SBS40	0.1	1756164457	0.505	7	3	27
SBS5	19.2	30.2	0.0698361661893062	0.0555555555555556	0.768197828082369	0.456990069922294	0.611111111111111	0.517868752092747	5	50	SBS40	0.1	1756164528	0.299	8	3	28
SBS12	2.8	0	0.373900966300059	0.423710797166793	1	0.509864954045535	1	0.57746928879923	5	50	SBS40	0.1	1756164597	0.044	9	3	29
SBS16	4.2	0	0.178452561622618	0.179712494879	1	0.573731924090543	1	0.607235543774111	5	50	SBS40	0.1	1756164671	0.75	10	3	30
SBS1	18	10.4	0.102588857965583	0.170586932871441	1	0.498534621733412	1	0.564947729555724	5	50	SBS40	0.2	1756164729	0.046	1	4	31
SBS32	0	4.2	0.178452561622618	0.179712494879	1	0.498534621733412	1	0.564947729555724	5	50	SBS40	0.2	1756164794	0.092	2	4	32
SBS5	21.4	34	0.0323295644543182	0.0952380952380952	0.484943466814772	0.400608178178635	1	0.453975854107279	5	50	SBS40	0.2	1756164864	0.336	3	4	33
SBS10b	3.6	0	0.229605047705818	0.179712494879	1	0.460185804676996	1	0.521490211897592	5	50	SBS40	0.2	1756164927	0.258	4	4	34
SBS16	0	2	0.373900966300059	0.423710797166793	1	0.523461352820083	1	0.593195116033511	5	50	SBS40	0.2	1756164986	0.271	5	4	35
SBS5	17	28.8	0.149292039814038	0.345741825860727	1	0.405059380158397	1	0.459020030264026	5	50	SBS40	0.2	1756165048	0.838	6	4	36
SBS10b	0	4.4	0.0714442305409557	0.0707011448659831	0.928774997032424	0.484947859177178	0.91911488325778	0.520810746759347	5	50	SBS40	0.2	1756165121	0.282	7	4	37
SBS16	0	3.8	0.178595278302822	0.179712494879	1	0.397269776693813	1	0.480205570122366	5	50	SBS40	0.2	1756165191	0.342	8	4	38
SBS10a	1.8	0	0.181303414275953	0.179712494879	1	0.460185804676996	1	0.521490211897592	5	50	SBS40	0.2	1756165271	0.09	9	4	39
SBS5	18.8	27.4	0.126522887711692	0.070484629046211	1	0.395895140788298	1	0.448634961706016	5	50	SBS40	0.2	1756165356	0.18	10	4	40
SBS7d	0.8	0	0.0838062926792378	0.0811247918835483	1	0.446300292654253	1	0.464832614049803	25	50	SBS40	0.02	1756165441	0.93	1	5	41
SBS54	0	1	0.108580123024723	0.0811247918835483	1	0.463656415146362	1	0.458395092309799	25	50	SBS40	0.02	1756165549	0.442	2	5	42
SBS54	1.4	0	0.0250904696241907	0.0208570245951454	0.777804558349913	0.596817254098432	0.646567762449508	0.614630097820232	25	50	SBS40	0.02	1756165648	0.997	3	5	43
SBS54	0.8	0	0.0838062926792378	0.0811247918835483	1	0.47605364549787	1	0.490262130812619	25	50	SBS40	0.02	1756165750	0.444	4	5	44
SBS18	0.28	1.88	0.0994198547108805	0.146107610316353	1	0.409108601599732	1	0.421319018667094	25	50	SBS40	0.02	1756165842	0.297	5	5	45
SBS58	1.68	0	0.0846607989211113	0.0811247918835483	1	0.445110158540508	1	0.448377770036992	25	50	SBS40	0.02	1756165922	0.021	6	5	46
SBS15	1.2	0	0.0840799639972601	0.0811678810492241	1	0.436382508373047	1	0.465806415861872	25	50	SBS40	0.02	1756166003	0.786	7	5	47
SBS58	0	2.08	0.0483470438876653	0.0411962568131011	1	0.474565977855689	1	0.508738742224931	25	50	SBS40	0.02	1756166097	0.047	8	5	48
SBS32	0.28	1.68	0.117581056906023	0.156731211463221	1	0.405835732786934	1	0.417948466517758	25	50	SBS40	0.02	1756166182	0.565	9	5	49
SBS87	4.08	1	0.0535675045936207	0.0596723853587207	1	0.465091883923905	1	0.462813433565598	25	50	SBS40	0.02	1756166271	0.083	10	5	50
SBS87	1.2	4.6	0.0472110347241618	0.0398386482466272	1	0.512275118524881	1	0.485359509504493	25	50	SBS40	0.05	1756166346	0.336	1	6	51
SBS29	0	1.08	0.161791690797324	0.161513318467542	1	0.476053645497869	1	0.490262130812619	25	50	SBS40	0.05	1756166438	0.428	2	6	52
SBS5	21.92	25.6	0.0583619091714605	0.067682172577087	1	0.460625981060438	1	0.49261916028768	25	50	SBS40	0.05	1756166538	0.957	3	6	53
SBS32	0	1.16	0.0974049873800042	0.0811678810492241	1	0.48231750925442	1	0.496712948323311	25	50	SBS40	0.05	1756166613	0.671	4	6	54
SBS54	1.52	0	0.0271167552992771	0.0208457101057386	0.976203190773975	0.512275118524881	0.750445563806589	0.505582822400513	25	50	SBS40	0.05	1756166684	0.745	5	6	55
SBS87	4.4	0.72	0.0382114602936712	0.0264697456884775	1	0.462065671611373	1	0.49261916028768	25	50	SBS40	0.05	1756166758	0.44	6	6	56
SBS16	0	2.64	0.011071181932252	0.00513958909533904	0.376420185696568	0.376420185696568	0.174746029241527	0.174746029241527	25	50	SBS40	0.05	1756166839	0.186	7	6	57
SBS54	1.2	0.2	0.123067139360802	0.156547584704584	1	0.424260772029351	1	0.436923426765876	25	50	SBS40	0.05	1756166911	0.853	8	6	58
SBS10b	1.72	0	0.00641086571117998	0.0051307807363014	0.205147702757759	0.205147702757759	0.164184983561645	0.164184983561645	25	50	SBS40	0.05	1756166982	0.028	9	6	59
SBS10b	0	1.08	0.0883896630697483	0.0811678810492241	1	0.531066199858453	1	0.505582822400513	25	50	SBS40	0.05	1756167051	0.239	10	6	60
SBS18	0	0.8	0.161491902472853	0.161426004369272	1	0.568445635906995	1	0.556141104640565	25	50	SBS40	0.1	1756167112	0.214	1	7	61
SBS87	3.44	0.4	0.0358508779416503	0.0380463264230559	1	0.445110158540508	1	0.477494887822707	25	50	SBS40	0.1	1756167186	0.115	2	7	62
SBS1	15.8	13.48	0.0253232944437655	0.041421655163692	0.860992011088026	0.427990537058181	1	0.440764511836345	25	50	SBS40	0.1	1756167263	0.158	3	7	63
SBS5	20.96	25.6	0.087864427734163	0.255741563813385	1	0.450019461759705	1	0.463450920533804	25	50	SBS40	0.1	1756167335	0.314	4	7	64
SBS88	0	1.44	0.0435989132967651	0.0411962568131011	1	0.39500140844112	1	0.406790776644091	25	50	SBS40	0.1	1756167407	0.042	5	7	65
SBS5	19.8	25.68	0.0160783143918495	0.0122050793529865	0.562741003714734	0.498045254121412	0.427177777354529	0.427177777354529	25	50	SBS40	0.1	1756167483	0.742	6	7	66
SBS10b	1.08	0.2	0.127926110178864	0.156584316523233	1	0.417572917494898	1	0.430035963880896	25	50	SBS40	0.1	1756167556	0.475	7	7	67
SBS54	1.8	0	0.0265411766496984	0.0208343979612249	1	0.440144426548677	0.81254152048777	0.44567219528539	25	50	SBS40	0.1	1756167628	0.277	8	7	68
SBS32	0	1.76	0.0244886072864143	0.0208117807103874	0.881589862310914	0.446645624370366	0.749224105573946	0.505582822400513	25	50	SBS40	0.1	1756167702	0.391	9	7	69
